link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/truthmakers/;Truthmakers ;505;1999;2004;2005;44;19;1997;2009;12;1917;2020;1200;2020
https://plato.stanford.edu/entries/truth-values/;Truth Values ;324;1975;1988;2009;16;63;1966;2003;37;1278;2020;1200;2020
https://plato.stanford.edu/entries/tsongkhapa/;Tsongkhapa ;131;1866;1998;2006;10;252;1950;2007;57;1290;2017;1200;2020
https://plato.stanford.edu/entries/turing/;Alan Turing ;272;1966;1954;XXXX;XXXX;26;1945;1990;45;1912;2016;1200;2020
https://plato.stanford.edu/entries/turing-machine/;Turing Machines ;246;1971;1965;1936;39;32;1939;2004;65;1818;2019;1200;2020
https://plato.stanford.edu/entries/turing-test/;The Turing Test ;159;1984;1995;1950;25;51;1980;2001;21;1508;2020;1200;2020
https://plato.stanford.edu/entries/twardowski/;Kazimierz Twardowski ;301;1941;1927;1894;25;49;1895;1993;98;1827;2020;1200;2020
https://plato.stanford.edu/entries/twotruths-india/;The Theory of Two Truths in India ;100;2001;1998;1998;44;8;1998;2005;7;1976;2017;1200;2020
https://plato.stanford.edu/entries/twotruths-tibet/;The Theory of Two Truths in Tibet ;176;1958;1992;2006;24;129;1975;2001;26;1357;2016;1200;2020
https://plato.stanford.edu/entries/types-tokens/;Types and Tokens ;176;1975;1982;1986;15;43;1970;1992;22;1512;2016;1200;2020
https://plato.stanford.edu/entries/type-theory/;Type Theory ;160;1969;1979;1940;9;64;1958;1998;40;1278;2018;1200;2020
https://plato.stanford.edu/entries/type-theory-church/;Church's Type Theory ;332;1981;1996;XXXX;XXXX;65;1971;2007;36;1289;2019;1200;2020
https://plato.stanford.edu/entries/type-theory-intuitionistic/;Intuitionistic Type Theory ;188;1988;1991;1998;20;47;1980;1999;19;1382;2020;1200;2020
https://plato.stanford.edu/entries/umar-khayyam/;Umar Khayyam ;103;1912;1971;2000;8;167;1896;2000;104;1342;2017;1200;2020
https://plato.stanford.edu/entries/qt-uncertainty/;The Uncertainty Principle ;209;1964;1975;1927;21;51;1930;1996;66;1451;2016;1200;2020
https://plato.stanford.edu/entries/scientific-underdetermination/;Underdetermination of Scientific Theory ;132;1981;1996;2013;8;54;1974;2009;35;1640;2017;1200;2020
https://plato.stanford.edu/entries/universals-medieval/;The Medieval Problem of Universals ;107;1908;1985;1996;9;215;1968;1996;28;1217;2017;1200;2020
https://plato.stanford.edu/entries/utilitarianism-history/;The History of Utilitarianism ;68;1910;1978;1978;5;119;1802;1996;194;1631;2018;1200;2020
https://plato.stanford.edu/entries/vagueness/;Vagueness ;133;1995;2002;2010;16;27;1991;2011;20;1902;2018;1200;2020
https://plato.stanford.edu/entries/vaihinger/;Hans Vaihinger ;142;1939;1930;2014;17;71;1880;2014;134;1750;2020;1200;2020
https://plato.stanford.edu/entries/lorenzo-valla/;Lorenzo Valla ;118;1830;1986;1999;6;263;1496;2002;506;1220;2017;1200;2020
https://plato.stanford.edu/entries/value-incommensurable/;Incommensurable Values ;275;1987;1997;1997;69;55;1986;2001;15;1529;2016;1200;2020
https://plato.stanford.edu/entries/value-intrinsic-extrinsic/;Intrinsic vs. Extrinsic Value ;547;1973;1997;2003;39;76;1972;2003;31;1225;2019;1200;2020
https://plato.stanford.edu/entries/value-pluralism/;Value Pluralism ;171;1992;1996;1997;31;18;1986;2001;15;1903;2018;1200;2020
https://plato.stanford.edu/entries/value-theory/;Value Theory ;143;1991;2001;2005;10;30;1984;2007;23;1785;2016;1200;2020
https://plato.stanford.edu/entries/vasubandhu/;Vasubandhu ;92;1991;1996;XXXX;XXXX;23;1985;2006;21;1904;2016;1200;2020
https://plato.stanford.edu/entries/vegetarianism/;Moral Vegetarianism ;437;2006;2011;2011;61;33;2004;2015;11;1396;2018;1200;2020
https://plato.stanford.edu/entries/vico/;Giambattista Vico ;119;1889;1976;1711;5;133;1725;1998;273;1650;2018;1200;2020
https://plato.stanford.edu/entries/vienna-circle/;Vienna Circle ;1062;1970;1976;2003;45;39;1938;2000;62;1211;2020;1200;2020
https://plato.stanford.edu/entries/epistemology-visual-thinking/;The Epistemology of Visual Thinking in Mathematics ;164;1976;1996;2012;12;51;1972;2007;35;1781;2020;1200;2020
https://plato.stanford.edu/entries/vives/;Juan Luis Vives [Joannes Ludovicus Vives] ;157;1795;1964;XXXX;XXXX;227;1531;1992;461;1250;2017;1200;2020
https://plato.stanford.edu/entries/voltaire/;Voltaire ;334;1863;1901;1750;11;122;1745;1985;240;1650;2020;1200;2020
https://plato.stanford.edu/entries/voluntarism-theological/;Theological Voluntarism ;167;1987;1999;1999;21;43;1982;2006;24;1731;2019;1200;2020
https://plato.stanford.edu/entries/voting/;The Ethics and Rationality of Voting ;240;1996;2009;2010;23;78;2001;2012;11;1323;2020;1200;2020
https://plato.stanford.edu/entries/voting-methods/;Voting Methods ;445;1996;2007;2017;29;55;1995;2013;18;1231;2019;1200;2020
https://plato.stanford.edu/entries/wang-yangming/;Wang Yangming ;85;1918;2005;2014;26;179;1963;2014;51;1472;2020;1200;2020
